Rank,Name,Park,Location,Supplier,Year,Awarded
1,Phoenix,Knoebels Amusement Resort,"Elysburg, Pennsylvania",DinnPTC/Shmeck,1985,2022
2,Voyage,Holiday World,"Santa Claus, Indiana",The Gravity Group,2006,2022
3,El Toro,Six Flags Great Adventure,"Jackson, New Jersey",Intamin,2006,2022
4,Boulder Dash,Lake Compounce,"Bristol, Connecticut",Custom Coasters Int.,2000,2022
5,Beast,Kings Island,"Mason, Ohio",KECO,1979,2022
6,Mystic Timbers,Kings Island,"Mason, Ohio",Great Coasters Int.,2017,2022
7,Ravine Flyer 2,Waldameer,"Erie, Pennsylvania",The Gravity Group,2008,2022
8,GhostRider,Knottâ€™s Berry Farm,"Buena Park, California",Custom Coasters/GCII,1998,2022
9,Outlaw Run,Silver Dollar City,"Branson, Missouri",Rocky Mountain Const.,2013,2022
10,Thunderhead,Dollywood,"Pigeon Forge, Tennessee",Great Coasters Int.,2004,2022
11,Gold Striker,Californiaâ€™s Great America,"Santa Clara, California",Great Coasters Int.,2013,2022
12,Jack Rabbit,Kennywood,"West Mifflin, Pennsylvania",Miller,1920,2022
13,Wodan,EuropaPark,"Rust, Germany",Great Coasters Int.,2012,2022
14,Lightning Racer,Hersheypark,"Hershey, Pennsylvania",Great Coasters Int.,2000,2022
15,Wildfire,KolmÃ¥rden,"NorrkÃ¶ping, Sweden",Rocky Mountain Const.,2016,2022
16,Troy,Toverland,"Sevenum, Netherlands",Great Coasters Int.,2007,2022
17,Cyclone,Luna Park/Coney Island,"Brooklyn, New York",Baker/Keenan,1927,2022
18,Balder,Liseberg,"Gothenberg, Sweden",Intamin,2003,2022
19,Shivering Timbers,Michiganâ€™s Adventure,"Muskegon, Michigan",Custom Coasters Int.,1998,2022
20,Thunderbolt,Kennywood,"West Mifflin, Pennsylvania",Vettel/Miller,1968,2022
21,Boardwalk Bullet,Kemah Boardwalk,"Kemah, Texas",The Gravity Group/M&V,2007,2022
22,Legend,Holiday World,"Santa Claus, Indiana",Custom Coasters Int.,2000,2022
23,Comet,Great Escape,"Queensbury, New York",PTC/Schmeck,1994,2022
24,Raven,Holiday World,"Santa Claus, Indiana",Custom Coasters Int.,1995,2022
25,Colossos,Heide Park,"Soltau, Germany",Intamin,2001,2022
26,Goliath,Six Flags Great America,"Gurnee, Illinois",Rocky Mountain Const.,2014,2022
27,Texas Stingray,SeaWorld San Antonio,"San Antonio, Texas",Great Coasters Int.,2020,2022
28,Flying Turns,Knoebels Amusement Resort,"Elysburg, Pennsylvania",Fetterman,2014,2022
29,Playland Wooden Coaster,PNE Playland,"Vancouver, B.C., Canada",Phare,1958,2022
30,Prowler,Worlds of Fun,"Kansas City, Missouri",Great Coasters Int.,2009,2022
31,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, California",Prior & Church/Looff,1924,2022
31,Twister,Knoebels Amusement Resort,"Elysburg, Pennsylvania",Fetterman,1999,2022
33,CÃº Chulainn,Tayto Park,"Ashborne, Ireland",The Gravity Group,2015,2022
33,Racer,Kennywood,"West Mifflin, Pennsylvania",Miller,1927,2022
33,Renegade,Valleyfair,"Shakopee, Minnesota",Great Coasters Int.,2007,2022
36,Rampage,Alabama Adventure,"Bessemer, Alabama",Custom Coasters Int.,1998,2022
37,White Lightning,Fun Spot Orlando,"Orlando, Florida",Great Coasters Int.,2013,2022
38,Screaminâ€™ Eagle,Six Flags St. Louis,"Eureka, Missouri",PTC/Allen,1976,2022
39,T Express,Everland,"Yonjinsi, South Korea",Intamin,2008,2022
40,Rutschebanan,Tivoli Gardens,"Copenhagen, Denmark",L.A. Thompson,1914,2022
41,Blue Streak,Cedar Point,"Sandusky, Ohio",Hoover,1964,2022
41,Zippin Pippin,Bay Beach,"Green Bay, Wisconsin",M&V,2011,2022
43,Boss,Six Flags St. Louis,"Eureka, Missouri",Custom Coasters Int.,2000,2022
44,Cornball Express,Indiana Beach,"Monticello, Indiana",Custom Coasters Int.,1999,2022
45,InvadR,Busch Gardens Williamsburg,"Williamsburg, Virginia",Great Coasters Int.,2017,2022
46,Switchback,ZDTâ€™s,"Seguin, Texas",The Gravity Group,2015,2022
47,Hades 360,Mt. Olympus,"Wisconsin Dells, Wisconsin",The Gravity Group,2005,2022
48,Tremors,Silverwood,"Athol, Idaho",Custom Coasters Int.,1999,2022
49,American Thunder,Six Flags St. Louis,"Eureka, Missouri",Great Coasters Int.,2008,2022
50,Joris en de Drak,Efteling,"Kaatsheuvel, Netherlands",Great Coasters Int.,2010,2022
1,Phoenix,Knoebels,"Elysburg, Pennsylvania",DinnPTC/Shmeck,1985,2023
2,Voyage,Holiday World,"Santa Claus, Indiana",The Gravity Group,2006,2023
3,El Toro,Six Flags Great Adventure,"Jackson, New Jersey",Intamin,2006,2023
4,Thunderhead,Dollywood,"Pigeon Forge, Tennessee",Great Coasters Int.,2004,2023
5,Boulder Dash,Lake Compounce,"Bristol, Connecticut",Custom Consters Int.,2000,2023
6,Beast,Kings Island,"Mason, Ohio",KECO,1979,2023
7,Mystic Timbers,Kings Island,"Mason, Ohio",Great Coasters Int.,2017,2023
8,Ravine Flyer 2,Waldameer,"Erie, Pennsylvania",The Gravity Group,2008,2023
9,GhostRider,Knottâ€™s Berry Farm,"Buena Park, California",Custom Coasters/GCII,1998,2023
10,Outlaw Run,Silver Dollar City,"Branson, Missouri",Rocky Mountain Const.,2013,2023
11,Balder,Liseberg,"Gothenburg, Sweden",Intamin,2003,2023
12,Gold Striker,Californiaâ€™s Great America,"Santa Clara, California",Great Coasters Int.,2013,2023
13,Wildfire,KolmÃ¥rden,"NorrkÃ¶ping, Sweden",Rocky Mountain Const.,2016,2023
14,Wodan,EuropaPark,"Rust, Germany",Great Coasters Int.,2012,2023
15,Jack Rabbit,Kennywood,"West Mifflin, Pennsylvania",Miller,1920,2023
16,Cyclone,Luna Park,"Brooklyn, New York",Baker/Keenan,1927,2023
17,Shivering Timbers,Michiganâ€™s Adventure,"Muskegon, Michigan",Custom Coasters Int.,1998,2023
18,Thunderbolt,Kennywood,"West Mifflin, Pennsylvania",Vettel/Miller,1968,2023
19,Troy,Toverland,"Sevenum, The Netherlands",Great Coasters Int.,2007,2023
20,Rutschebanan,Tivoli Gardens,"Copenhagen, Denmark",L.A. Thompson,1914,2023
21,Legend,Holiday World,"Santa Claus, Indiana",Custom Coasters Int.,2000,2023
22,Lightning Racer,Hersheypark,"Hershey, Pennsylvania",Great Coasters Int.,2000,2023
23,Flying Turns,Knoebels,"Elysburg, Pennsylvania",Fetterman,2014,2023
24,Prowler,Worlds of Fun,"Kansas City, Missouri",Great Coasters Int.,2009,2023
25,Comet,Six Flags Great Escape,"Queensbury, New York",PTC/Shmeck,1994,2023
26,Raven,Holiday World,"Santa Claus, Indiana",Custom Coasters Int.,1995,2023
