Name,Park,Type,Design,Status,City,Region,Country,Make,Length (ft),Height (ft),Speed (mph),Inversions,Elements,Drop (ft),Rank
€uro-Coaster,Wiener Prater,Steel,Suspended,Removed,Vienna,Vienna,Austria,Reverchon,1509,49.2,37.3,0.0,['Chain Lift Hill'],,No
10 Inversion Roller Coaster,Chimelong Paradise,Steel,Sit Down,Operating,Guangzhou,Guangdong,China,Intamin Amusement Rides,2788,98.4,49.7,10.0,"['Chain Lift Hill', 'Loop', 'Cobra Roll', 'Double Corkscrew', 'Quad Heartline Roll', 'Heartline Roll']",,No
7 Picos,Parque de Atracciones de Madrid,Steel,Sit Down,Removed,Madrid,Community of Madrid,Spain,Schwarzkopf,1509,44.3,37.3,0.0,,,No
Abismo,Parque de Atracciones de Madrid,Steel,Sit Down,Operating,Madrid,Community of Madrid,Spain,Maurer Rides GmbH,1476,151.6,65.2,2.0,"['Vertical Chain Lift Hill', 'Sky Loop']",,No
Abyss,Adventure World,Steel,Sit Down,Operating,Bibra Lake,Western Australia,Australia,Gerstlauer Amusement Rides GmbH,2066,98.4,52.8,3.0,"['In-Line Twist', 'Vertical Chain Lift Hill', 'Immelmann', 'Over-Banked Curve', 'Dive Loop']",100.0,No
Abyssus,Energylandia,Steel,Sit Down,Operating,Zator,Małopolskie,Poland,Vekoma,4317,126.3,62.1,4.0,"['LSM Launch', 'LSM Boost', 'Loop', 'Batwing', 'Corkscrew']",,No
Accelerator,Drayton Manor,Steel,Sit Down,Operating,Staffordshire,England,United Kingdom,Vekoma,643,65.6,37.3,0.0,['Booster Wheel Lift Hill'],,No
Achtbaan,Amusementspark Tivoli,Steel,Sit Down,Operating,Berg en Dal,Gelderland,Netherlands,Zierer,652,19.7,19.9,0.0,['Booster Wheel Lift Hill'],,No
Achtbaan,Mondo Verde,Steel,Sit Down,Operating,Landgraaf,Limburg,Netherlands,Zierer,652,19.7,19.9,0.0,['Booster Wheel Lift Hill'],,No
Achterbahn,Skyline Park,Steel,Sit Down,Relocated,Bad Wörishofen,Bavaria,Germany,Schwarzkopf,1902,82.0,31.1,0.0,['Chain Lift Hill'],,No
Achterbahn,Rasti-Land,Steel,Sit Down,Operating,Salzhemmendorf,Lower Saxony,Germany,Vekoma,679,27.9,21.7,0.0,['Booster Wheel Lift Hill'],,No
Achterbahn,Ferienzentrum Schloss Dankern,Steel,Sit Down,Operating,Haren,Lower Saxony,Germany,abc rides,1148,45.9,31.1,0.0,,,No
Achterbahn,Ticiland,Steel,Sit Down,Operating,Stein am Rhein,Schaffhausen,Switzerland,Zierer,728,29.5,24.2,0.0,['Booster Wheel Lift Hill'],,No
Aconcagua,Parque de la Ciudad,Steel,Sit Down,Removed,Buenos Aires,Buenos Aires,Argentina,Schwarzkopf,2463,118.8,57.9,0.0,,98.4,No
Acrobat,Nagashima Spa Land,Steel,Flying,Operating,Kuwana,Mie,Japan,Bolliger & Mabillard,3349,141.1,55.9,4.0,"['Chain Lift Hill', 'Pretzel Loop', 'In-Line Twist', 'Corkscrew', 'In-Line Twist']",,No
Adlerflug,Funny-World,Steel,Sit Down,Operating,Kappel,Baden-Württemberg,Germany,Sunkid GmbH,0,24.6,21.7,0.0,,,No
Adrena-Line,Six Flags Qiddiya,Steel,Suspended,Under Construction,Al Muzahimiyah,Ar Riyadh,Saudi Arabia,Vekoma,1620,65.6,44.7,0.0,,,No
Adrenaline Peak,Oaks Amusement Park,Steel,Sit Down,Operating,Portland,Oregon,United States,Gerstlauer Amusement Rides GmbH,1050,72.0,45.0,3.0,"['Vertical Chain Lift Hill', 'Loop', 'Cutback', 'Heartline Roll']",,No
Adventure Express,Kings Island,Steel,Sit Down,Operating,Mason,Ohio,United States,Arrow Dynamics,2963,63.0,35.0,0.0,"['Tunnel', 'Tunnel', 'Chain Lift Hill', 'Tunnel', 'Tunnel', 'Chain Lift Hill']",,No
Afterburn,Carowinds,Steel,Inverted,Operating,Charlotte,North Carolina,United States,Bolliger & Mabillard,2956,113.0,62.0,6.0,"['Chain Lift Hill', 'Loop', 'Immelmann', 'Zero-G Roll', 'Batwing', 'Corkscrew']",,Yes
Afterburner,Fun Spot Park,Steel,Sit Down,Removed,Angola,Indiana,United States,Arrow Dynamics,635,56.0,45.0,1.0,"['Electric Winch Launch', 'Loop', 'Electric Winch Launch']",47.0,No
Aftershock,Silverwood Theme Park,Steel,Inverted,Operating,Athol,Idaho,United States,Vekoma,1204,177.2,61.5,3.0,"['Catch Car Vertical Lift', 'Cobra Roll', 'Loop', 'Catch Car Vertical Lift']",,No
Aile Treni,ParkAntep,Steel,Sit Down,Operating,Gaziantep,Gaziantep,Turkey,Preston & Barbieri,0,39.3,31.3,0.0,,,No
Airplane Coaster,Playland Park,Wood,Sit Down,Removed,Rye,New York,United States,,3500,92.0,40.0,0.0,,,No
Aladdin Coaster,Sinbad Land,Steel,Sit Down,Operating,Baghdad,Baghdad,Iraq,Zamperla,1377,42.7,29.1,0.0,['Chain Lift Hill'],,No
Alap Alap,Dunia Fantasi,Steel,Sit Down,Operating,North Jakarta,Jakarta,Indonesia,Zierer,652,19.7,19.9,0.0,['Booster Wheel Lift Hill'],,No
Alghazal,Meryal,Steel,Sit Down,Under Construction,Lusail,Al Daayen,Qatar,Intamin Amusement Rides,2463,75.5,44.7,0.0,,,No
Alien Taxi,Trans Studio Cibubur,Steel,Sit Down,Operating,East Jakarta,Jakarta,Indonesia,Maurer Rides GmbH,1391,50.8,37.3,0.0,['Chain Lift Hill'],,No
All American Triple Loop,Indiana Beach,Steel,Sit Down,Under Construction,Monticello,Indiana,United States,Schwarzkopf,3379,108.3,53.4,3.0,"['Booster Wheel Lift Hill', 'Loop', 'Loop', 'Loop']",100.9,No
Alpen Blitz,Parque de la Ciudad,Steel,Sit Down,Removed,Buenos Aires,Buenos Aires,Argentina,Schwarzkopf,689,16.4,44.7,0.0,,,No
Alpenexpress Enzian,Europa Park,Steel,Sit Down,Removed,Rust,Baden-Württemberg,Germany,Mack Rides GmbH & Co KG,866,19.7,28.0,0.0,,,No
Alpengeist,Busch Gardens Williamsburg,Steel,Inverted,Operating,Williamsburg,Virginia,United States,Bolliger & Mabillard,3828,195.0,67.0,6.0,"['Chain Lift Hill', 'Immelmann', 'Loop', 'Tunnel', 'Cobra Roll', 'Block Brake', 'Zero-G Roll', 'Corkscrew']",170.0,Yes
Alpina Blitz,Nigloland,Steel,Sit Down,Operating,Dolancourt,Grand Est,France,Mack Rides GmbH & Co KG,2358,108.3,51.6,0.0,['Chain Lift Hill'],,No
Alpina Bobs,Holly Park,Steel,Sit Down,Removed,Échemiré,Pays de la Loire,France,Schwarzkopf,1765,44.3,31.1,0.0,['Chain Lift Hill'],,No
Alpine Bobsled,Six Flags Great Escape,Steel,Bobsled,Removed,Queensbury,New York,United States,Intamin Amusement Rides,1490,64.0,35.0,0.0,['Chain Lift Hill'],,No
