Rank,Name,Park,Location,Supplier,Year,Awarded,Type,Design,Status,Opened,City,Region,Country,Make,Length (ft),Height (ft),Speed (mph),Inversions,Elements,Drop (ft),Duration,G-Force,Vertical Angle (°),Uphill Length (ft),Downhill Length (ft),Δ Elevation (ft),Airtime Points,Crossings,Bank Angle (°),Drop,Designer
1,Phoenix,Knoebels Amusement Resort,"Elysburg, Pennsylvania",DinnPTC/Shmeck,1985,2022,Wood,Sit Down,Operating,6/15/1985,Elysburg,Pennsylvania,United States,"Philadelphia Toboggan Coasters, Inc.",3200,78.0,45.0,0.0,"['Tunnel', 'Chain Lift Hill']",72.0,2:00,,,,,,,,,,
2,Voyage,Holiday World,"Santa Claus, Indiana",The Gravity Group,2006,2022,Wood,Sit Down,Operating,5/6/2006,Santa Claus,Indiana,United States,,6442,159.0,67.0,0.0,"['Chain Lift Hill', 'Hill', 'Hill']",154.0,2:45,,66.0,,,,,,,,
3,El Toro,Six Flags Great Adventure,"Jackson, New Jersey",Intamin,2006,2022,Wood,Sit Down,Operating,6/12/2006,Jackson,New Jersey,United States,Intamin Amusement Rides,4400,181.0,70.0,0.0,"['Cable Lift Hill', 'Hill', 'Hill', 'Hill']",176.0,1:42,,76.0,,,,,,,,
4,Boulder Dash,Lake Compounce,"Bristol, Connecticut",Custom Coasters Int.,2000,2022,Wood,Sit Down,Operating,5/21/2000,Bristol,Connecticut,United States,"Custom Coasters International, Inc.",4725,,60.0,0.0,,115.0,2:30,,,,,,,,,,
5,Beast,Kings Island,"Mason, Ohio",KECO,1979,2022,Wood,Sit Down,Operating,4/14/1979,Mason,Ohio,United States,,7361,110.0,64.8,0.0,"['Chain Lift Hill', 'Tunnel', 'Tunnel', 'Chain Lift Hill', 'Tunnel', 'Helix']",141.0,4:10,,,,,,,,,,
6,Mystic Timbers,Kings Island,"Mason, Ohio",Great Coasters Int.,2017,2022,Wood,Sit Down,Operating,4/15/2017,Mason,Ohio,United States,Great Coasters International,3265,109.2,53.0,0.0,"['Chain Lift Hill', 'Tunnel']",,,,,,,,,,,,
9,Outlaw Run,Silver Dollar City,"Branson, Missouri",Rocky Mountain Const.,2013,2022,Wood,Sit Down,Operating,3/15/2013,Branson,Missouri,United States,Rocky Mountain Construction,2937,107.0,68.0,3.0,"['Chain Lift Hill', 'Over-Banked Inversion', 'Double Heartline Roll']",162.0,1:27,,81.0,,,,,,,,
10,Thunderhead,Dollywood,"Pigeon Forge, Tennessee",Great Coasters Int.,2004,2022,Wood,Sit Down,Operating,4/3/2004,Pigeon Forge,Tennessee,United States,Great Coasters International,3230,100.4,53.7,0.0,['Chain Lift Hill'],100.0,,,,,,,,,,,
12,Jack Rabbit,Kennywood,"West Mifflin, Pennsylvania",Miller,1920,2022,Wood,Sit Down,Operating,1920,West Mifflin,Pennsylvania,United States,,2132,40.0,45.0,0.0,"['Chain Lift Hill', 'Double Dip']",70.0,1:36,,45.0,,,,,,,,
15,Wildfire,Kolmården,"Norrköping, Sweden",Rocky Mountain Const.,2016,2022,Wood,Sit Down,Operating,6/28/2016,Norrköping,Östergötland,Sweden,Rocky Mountain Construction,4150,183.8,71.5,3.0,"['Chain Lift Hill', 'Zero-G Stall', 'Heartline Roll', 'Heartline Roll']",160.8,2:00,4.0,83.0,,,,,,,,
16,Troy,Toverland,"Sevenum, Netherlands",Great Coasters Int.,2007,2022,Wood,Sit Down,Operating,6/29/2007,Sevenum,Limburg,Netherlands,Great Coasters International,3534,104.5,54.0,0.0,['Chain Lift Hill'],100.7,1:50,2.4,,,,,,,,,
18,Balder,Liseberg,"Gothenberg, Sweden",Intamin,2003,2022,Wood,Sit Down,Operating,4/12/2003,Gothenburg,Västra Götaland,Sweden,Intamin Amusement Rides,3510,118.1,55.9,0.0,"['Chain Lift Hill', 'Tunnel', 'Tunnel']",,2:08,,70.0,,,,,,,,
