Rank,Name,Park,Location,Supplier,Year,Awarded,Type,Design,Status,Opened,City,Region,Country,Make,Length (ft),Height (ft),Speed (mph),Inversions,Elements,Drop (ft),Duration,G-Force,Vertical Angle (°),Uphill Length (ft),Downhill Length (ft),Δ Elevation (ft),Airtime Points,Crossings,Bank Angle (°),Drop,Designer
1,Phoenix,Knoebels Amusement Resort,"Elysburg, Pennsylvania",DinnPTC/Shmeck,1985,2022,Wood,Sit Down,Operating,6/15/1985,Elysburg,Pennsylvania,United States,"Philadelphia Toboggan Coasters, Inc.","3,200.00",78.00,45.00,0.00,"['Tunnel', 'Chain Lift Hill']",72.00,2:00,,,,,,,,,,
2,Voyage,Holiday World,"Santa Claus, Indiana",The Gravity Group,2006,2022,Wood,Sit Down,Operating,5/6/2006,Santa Claus,Indiana,United States,,"6,442.00",159.00,67.00,0.00,"['Chain Lift Hill', 'Hill', 'Hill']",154.00,2:45,,66,,,,,,,,
3,El Toro,Six Flags Great Adventure,"Jackson, New Jersey",Intamin,2006,2022,Wood,Sit Down,Operating,6/12/2006,Jackson,New Jersey,United States,Intamin Amusement Rides,"4,400.00",181.00,70.00,0.00,"['Cable Lift Hill', 'Hill', 'Hill', 'Hill']",176.00,1:42,,76,,,,,,,,
4,Boulder Dash,Lake Compounce,"Bristol, Connecticut",Custom Coasters Int.,2000,2022,Wood,Sit Down,Operating,5/21/2000,Bristol,Connecticut,United States,"Custom Coasters International, Inc.","4,725.00",,60.00,0.00,,115.00,2:30,,,,,,,,,,
5,Beast,Kings Island,"Mason, Ohio",KECO,1979,2022,Wood,Sit Down,Operating,4/14/1979,Mason,Ohio,United States,,"7,361.00",110.00,64.80,0.00,"['Chain Lift Hill', 'Tunnel', 'Tunnel', 'Chain Lift Hill', 'Tunnel', 'Helix']",141.00,4:10,,,,,,,,,,
6,Mystic Timbers,Kings Island,"Mason, Ohio",Great Coasters Int.,2017,2022,Wood,Sit Down,Operating,4/15/2017,Mason,Ohio,United States,Great Coasters International,"3,265.00",109.20,53.00,0.00,"['Chain Lift Hill', 'Tunnel']",,,,,,,,,,,,
9,Outlaw Run,Silver Dollar City,"Branson, Missouri",Rocky Mountain Const.,2013,2022,Wood,Sit Down,Operating,3/15/2013,Branson,Missouri,United States,Rocky Mountain Construction,"2,937.00",107.00,68.00,3.00,"['Chain Lift Hill', 'Over-Banked Inversion', 'Double Heartline Roll']",162.00,1:27,,81,,,,,,,,
10,Thunderhead,Dollywood,"Pigeon Forge, Tennessee",Great Coasters Int.,2004,2022,Wood,Sit Down,Operating,4/3/2004,Pigeon Forge,Tennessee,United States,Great Coasters International,"3,230.00",100.40,53.70,0.00,['Chain Lift Hill'],100.00,,,,,,,,,,,
12,Jack Rabbit,Kennywood,"West Mifflin, Pennsylvania",Miller,1920,2022,Wood,Sit Down,Operating,1920,West Mifflin,Pennsylvania,United States,,"2,132.00",40.00,45.00,0.00,"['Chain Lift Hill', 'Double Dip']",70.00,1:36,,45,,,,,,,,
15,Wildfire,Kolmården,"Norrköping, Sweden",Rocky Mountain Const.,2016,2022,Wood,Sit Down,Operating,6/28/2016,Norrköping,Östergötland,Sweden,Rocky Mountain Construction,"4,150.30",183.80,71.50,3.00,"['Chain Lift Hill', 'Zero-G Stall', 'Heartline Roll', 'Heartline Roll']",160.80,2:00,4,83,,,,,,,,
